file,annotations,avg_confidence,sast_risks,ml_signals,best_practices,high_severity,medium_severity,low_severity
test_high_freq_trading,17,0.5294,0,0,0,0,0,3
test_datalayer,18,0.75,0,0,0,0,0,0
test_dataloader,13,0.6923,0,0,0,0,0,1
test_dataset,29,0.6379,0,0,0,0,0,7
test_handler,24,0.5833,0,0,0,0,2,2
test_handler_storage,26,0.5769,0,0,0,0,0,2
test_processor,38,0.7632,0,0,0,0,0,4
test_mlflow,10,0.6,0,0,0,0,1,1
test_get_multi_proc,23,0.6739,0,0,0,0,0,4
test_index_data,67,0.6642,0,0,0,0,0,15
test_sepdf,17,0.5588,0,0,0,0,0,7
test_utils,60,0.6917,0,0,0,0,1,8
test_general_nn,4,0.75,0,0,0,0,0,1
test_elem_operator,46,0.7283,0,0,0,0,0,3
test_special_ops,23,0.7174,0,0,0,0,0,4
test_data_queue,46,0.75,0,0,0,0,0,8
test_finite_env,103,0.6699,0,0,0,0,6,10
test_logger,73,0.6918,0,0,0,0,0,12
test_qlib_simulator,69,0.6594,0,0,0,0,0,19
test_saoe_simple,179,0.6564,0,0,0,0,1,10
test_trainer,105,0.7048,0,0,0,0,1,9
test_update_pred,27,0.6852,0,0,0,0,0,3
test_storage,34,0.6618,0,0,0,0,0,5
bar_test,11,0.7727,0,0,0,0,0,2
billboard_test,26,0.6346,0,0,0,0,0,3
classifying_test,37,0.7027,0,0,0,0,0,8
dateu_test,9,0.6111,0,0,0,0,0,0
fund_test,13,0.5769,0,0,0,0,1,1
indictor_test,8,0.9375,0,0,0,0,0,0
macro_test,35,0.6429,0,0,0,0,0,11
nav_test,58,0.6983,0,0,0,0,0,9
news_test,24,0.7292,0,0,0,0,0,5
ref_test,40,0.625,0,0,0,0,0,10
shibor_test,22,0.6136,0,0,0,0,0,2
storing_test,40,0.725,0,0,0,2,6,5
trading_test,29,0.6207,0,0,0,0,0,7
__init__,22,0.5227,0,0,0,0,0,1
bonds,2,0.5,0,0,0,0,0,0
market,43,0.8721,0,0,0,0,7,7
__init__,1,1.0,0,0,0,0,0,0
cons,36,0.7222,0,0,0,0,0,19
nav,87,0.6264,0,0,0,0,16,19
cons,6,1.0,0,0,0,0,0,0
domestic,62,0.6532,0,0,0,0,5,9
domestic_cons,16,0.75,0,0,0,0,0,9
intlfutures,21,0.7619,0,0,0,0,4,4
boxoffice,51,0.7549,0,0,0,0,6,18
caixinnews,18,0.6389,0,0,0,0,4,9
indexes,28,0.8393,0,0,0,0,5,2
client,21,0.6429,0,0,0,0,5,2
data_pro,31,0.7097,0,0,0,0,1,16
billboard,80,0.7312,0,0,0,1,15,14
classifying,105,0.6952,0,0,0,0,18,28
cons,59,0.6186,0,0,0,0,7,11
fundamental,137,0.6788,0,0,0,0,31,42
globals,13,0.6154,0,0,0,0,2,2
indictor,114,0.7588,0,0,0,0,1,15
macro,140,0.6643,0,0,0,0,33,51
macro_vars,23,0.8913,0,0,0,0,0,1
newsevent,59,0.6441,0,0,0,1,9,13
news_vars,7,1.0,0,0,0,0,0,0
reference,308,0.6429,0,0,0,0,31,61
ref_vars,46,0.5,0,0,0,0,0,2
shibor,45,0.7,0,0,0,0,6,10
trading,329,0.7188,0,0,0,1,28,73
trendline,371,0.6941,0,0,0,1,3,52
trader,93,0.672,0,0,0,1,7,11
utils,14,0.5,0,0,0,0,0,10
vars,19,0.5,0,0,0,0,0,0
common,29,0.6724,0,0,0,0,4,7
conns,28,0.75,0,0,0,0,2,9
dateu,72,0.7292,0,0,0,1,3,20
formula,189,0.7646,0,0,0,1,0,39
mailmerge,83,0.6687,0,0,0,0,0,14
netbase,12,0.7083,0,0,0,0,2,1
store,8,0.625,0,0,0,0,0,4
upass,30,0.6667,0,0,0,1,1,11
vars,21,0.9524,0,0,0,0,0,0
conf,4,1.0,0,0,0,0,0,0
__init__,0,0.0,0,0,0,0,0,0
run,15,0.5333,0,0,0,0,1,0
run_client,10,0.55,0,0,0,0,0,0
run_server,35,0.6714,0,0,0,0,0,5
data_recorder,22,0.7045,0,0,0,0,1,2
run,41,0.7683,0,0,0,0,2,8
test_client,22,0.6136,0,0,0,0,2,3
test_server,14,0.6429,0,0,0,0,0,2
demo_script,10,1.0,0,0,0,0,0,2
run,11,0.8182,0,0,0,0,0,0
lab,117,0.7094,0,0,0,0,4,30
logger,4,0.75,0,0,0,0,0,0
__init__,1,0.5,0,0,0,0,0,0
axis,10,0.8,0,0,0,0,0,0
base,6,0.75,0,0,0,0,0,0
item,96,0.7917,0,0,0,0,0,4
manager,56,0.7589,0,0,0,0,0,4
widget,204,0.7549,0,0,0,0,0,11
__init__,1,0.5,0,0,0,0,0,0
engine,46,0.7283,0,0,0,0,0,8
__init__,2,0.75,0,0,0,0,0,0
client,55,0.7091,0,0,0,0,3,10
common,4,0.625,0,0,0,0,0,0
server,42,0.8095,0,0,0,0,3,3
__init__,1,1.0,0,0,0,0,0,0
app,8,0.9375,0,0,0,0,0,0
constant,46,0.587,0,0,0,0,0,8
converter,103,0.8641,0,0,0,0,0,6
database,40,0.8,0,0,0,0,3,4
datafeed,23,0.5652,0,0,0,0,2,5
engine,233,0.6888,0,0,0,2,1,15
event,8,1.0,0,0,0,0,0,0
gateway,66,0.7348,0,0,0,0,0,10
logger,12,0.7917,0,0,0,0,0,2
object,197,0.8503,0,0,0,0,0,1
optimize,57,0.6842,0,0,0,2,1,6
setting,4,1.0,0,0,0,0,0,1
utility,300,0.6983,0,0,0,0,0,17
cs_function,20,0.625,0,0,0,0,0,1
processor,35,0.7,0,0,0,0,0,5
ta_function,20,0.775,0,0,0,0,0,2
template,73,0.6712,0,0,0,0,0,6
ts_function,111,0.7027,0,0,0,0,0,19
utility,76,0.6842,0,0,0,1,0,3
__init__,4,0.75,0,0,0,0,0,0
template,18,0.6944,0,0,0,0,0,2
__init__,1,0.5,0,0,0,0,0,0
backtesting,183,0.7596,0,0,0,0,0,13
template,82,0.7683,0,0,0,0,4,7
__init__,3,0.5,0,0,0,0,0,0
alpha_158,43,1.0,0,0,0,0,0,0
lasso_model,32,0.7969,0,0,0,0,1,1
lgb_model,29,0.8793,0,0,0,0,1,2
mlp_model,98,0.6582,0,0,0,0,0,21
equity_demo_strategy,36,0.8611,0,0,0,0,0,3
build_hook,10,0.65,0,0,0,0,0,2
__init__,4,0.75,0,0,0,0,0,0
mainwindow,114,0.7368,0,0,0,0,2,10
